,mean,std,count
sgld_purify_acc/0.3/6,0.7614000082015991,0.00928977489772915,5.0
sgld_purify_recovery/0.3/6,0.06855219267308713,0.029188698904612204,5.0
sgld_joint_purify_acc/0.3/1,0.7966000080108643,0.006348234157147908,5.0
sgld_joint_purify_recovery/0.3/1,0.013769165519624949,0.0062296249497138965,5.0
adaptive_sgld_purify_acc/0.3/1,0.7966000080108643,0.006348234157147908,5.0
sgld_joint_purify_acc/0.3/3,0.7952000021934509,0.007563067725456586,5.0
sgld_joint_purify_recovery/0.3/3,0.033654462173581125,0.011132578256761828,5.0
adaptive_sgld_purify_acc/0.3/3,0.7952000021934509,0.007563067725456586,5.0
sgld_joint_purify_acc/0.3/6,0.7930000066757202,0.008154763345703277,5.0
sgld_joint_purify_recovery/0.3/6,0.05579838529229164,0.009717451121473538,5.0
adaptive_sgld_purify_acc/0.3/6,0.7930000066757202,0.008154763345703277,5.0
