,mean,std,count
uq_joint_detection/5pct/0.3,0.0009142857142857144,0.0002595128874940707,5.0
uq_joint_det_err_detected/5pct/0.3,1.0,0.0,5.0
uq_joint_det_err_passed/5pct/0.3,0.11050122517316077,0.001494576432833859,5.0
adaptive_detection/10pct/0.3,0.0035428571428571427,0.0004989785484735139,5.0
uq_joint_detection/10pct/0.3,0.0035428571428571427,0.0004989785484735139,5.0
uq_joint_det_err_detected/10pct/0.3,0.835693678641047,0.06263890666423584,5.0
uq_joint_det_err_passed/10pct/0.3,0.10872849943825073,0.0013165911450512078,5.0
adaptive_detection/20pct/0.3,0.01305714285714286,0.0004115674368825121,5.0
uq_joint_detection/20pct/0.3,0.01305714285714286,0.0004115674368825121,5.0
uq_joint_det_err_detected/20pct/0.3,0.6972153142005364,0.041835074148946584,5.0
uq_joint_det_err_passed/20pct/0.3,0.1035520299939332,0.0016208128517004054,5.0
uq_purify_acc/0.3/0.2,0.19742857217788695,0.002911973926002072,5.0
uq_purify_recovery/0.3/0.2,0.11958939880132675,0.002614951209576569,5.0
uq_joint_purify_acc/0.3/0.2,0.8880285620689392,0.0015662209860141997,5.0
uq_joint_purify_recovery/0.3/0.2,0.000512820528820157,0.001146701562699261,5.0
adaptive_uq_purify_acc/0.3/0.2,0.8880285620689392,0.0015662209860141997,5.0
uq_purify_acc/0.3/0.3,0.20765714049339296,0.0035161435697980623,5.0
uq_purify_recovery/0.3/0.3,0.1308976501226425,0.0033244386831080505,5.0
uq_joint_purify_acc/0.3/0.3,0.8869714379310608,0.0015856491203862322,5.0
uq_joint_purify_recovery/0.3/0.3,0.000512820528820157,0.001146701562699261,5.0
adaptive_uq_purify_acc/0.3/0.3,0.8869714379310608,0.0015856491203862322,5.0
sgld_purify_acc/0.3/1,0.130799999833107,0.006140033003248666,5.0
sgld_purify_recovery/0.3/1,0.04322557523846626,0.004479855427403729,5.0
sgld_purify_acc/0.3/3,0.1606000006198883,0.004827005868978527,5.0
sgld_purify_recovery/0.3/3,0.07675308883190154,0.002225784426337765,5.0
sgld_purify_acc/0.3/5,0.17280000150203706,0.003701351157807349,5.0
sgld_purify_recovery/0.3/5,0.0906449243426323,0.0016807456950967822,5.0
sgld_joint_purify_acc/0.3/1,0.8986000061035156,0.009555115070921617,5.0
sgld_joint_purify_recovery/0.3/1,0.0,0.0,5.0
